price,differencePrice,priceChange,displayName,timeLastUpdated,localDateChange
34455.324,34455.324,34455.324,Bitcoin,2023-11-24T23:50:03.983614Z,1700869824497
34451.246,-4.078125,367.8704,Bitcoin,2023-11-24T23:51:02.6235289Z,1700869930079
34454.496,3.25,374.00354,Bitcoin,2023-11-24T23:53:03.0088485Z,1700870017022
34460.406,5.9101562,385.61194,Bitcoin,2023-11-24T23:55:03.0224666Z,1700870127214
34435.074,-25.332031,-125.68802,Bitcoin,2023-11-25T12:12:12.5829877Z,1700914365071
34432.676,-2.3984375,-116.03811,Bitcoin,2023-11-25T12:13:02.5163992Z,1700914425073
34457.23,24.554688,-201.23022,Bitcoin,2023-11-25T12:30:04.567611Z,1700915447097
34454.773,-2.4570312,-222.23329,Bitcoin,2023-11-25T12:31:02.4975516Z,1700915499128
34450.16,-4.6132812,-199.81093,Bitcoin,2023-11-25T12:32:12.9293826Z,1700915569123
34461.54,11.378906,-63.40923,Bitcoin,2023-11-25T13:16:02.4858378Z,1700918207088
34463.035,1.4960938,-63.067352,Bitcoin,2023-11-25T13:17:03.669711Z,1700918267037
34458.766,-4.2695312,-122.6732,Bitcoin,2023-11-25T13:19:03.3603241Z,1700918377178
34448.7,-10.066406,-116.7811,Bitcoin,2023-11-25T13:20:03.395165Z,1700918437138
34441.86,-6.8398438,-114.002556,Bitcoin,2023-11-25T13:21:02.2834763Z,1700918499133
34441.184,-0.67578125,-100.22385,Bitcoin,2023-11-25T13:22:13.0140031Z,1700918560164
34436.035,-5.1484375,-80.58032,Bitcoin,2023-11-25T13:25:02.8857352Z,1700918742168
34427.77,-8.265625,-74.36398,Bitcoin,2023-11-25T13:27:03.2344837Z,1700918868083
34422.152,-5.6171875,-65.746315,Bitcoin,2023-11-25T13:28:03.9499077Z,1700918928074
34439.24,17.085938,-35.472416,Bitcoin,2023-11-25T13:29:02.6466298Z,1700918988021
34460.406,21.167969,9.476612,Bitcoin,2023-11-25T13:30:07.8012073Z,1700919046091
34460.23,-0.17578125,2.1882246,Bitcoin,2023-11-25T13:31:03.5747477Z,1700919101149
34470.785,10.5546875,22.85413,Bitcoin,2023-11-25T13:33:02.859822Z,1700919226080
34474.527,3.7421875,33.95741,Bitcoin,2023-11-25T13:34:02.8782856Z,1700919272094
34476.605,2.078125,51.02538,Bitcoin,2023-11-25T13:36:11.821706Z,1700919392111
