price,differencePrice,priceChange,displayName,timeLastUpdated,localDateChange
287.44,287.44,287.44,Deka-GlobalChampions CF,2023-11-24T10:00:12.4808006Z,1700869824497
285.41,-2.0299988,-1.08,Deka-GlobalChampions CF,2023-11-29T20:00:11.9802851Z,1701289130059
286.53,1.1199951,1.25,Deka-GlobalChampions CF,2023-12-01T12:01:49.6531467Z,1701451904046
288.3,1.769989,1.14,Deka-GlobalChampions CF,2023-12-04T20:00:13.0713596Z,1701723798040
286.53,-1.769989,-1.77,Deka-GlobalChampions CF,2023-12-06T10:00:41.1558401Z,1701874502030
288.98,2.4500122,2.45,Deka-GlobalChampions CF,2023-12-07T10:00:02.3459106Z,1701967325043
290.92,1.9400024,-0.22,Deka-GlobalChampions CF,2023-12-13T10:00:39.4609738Z,1702543423030
291.29,0.36999512,0.37,Deka-GlobalChampions CF,2023-12-14T10:00:02.0576565Z,1702552187102
292.72,1.4299927,1.31,Deka-GlobalChampions CF,2023-12-19T12:01:18.6388256Z,1703003280779
293.89,1.1700134,1.17,Deka-GlobalChampions CF,2023-12-20T12:01:11.8938156Z,1703073740340
295.13,1.2399902,1.24,Deka-GlobalChampions CF,2023-12-21T10:00:06.8078891Z,1703155184038
293.22,-1.9100037,0.41,Deka-GlobalChampions CF,2023-12-22T23:00:30.196392Z,1703364936035
293.62,0.3999939,-0.57,Deka-GlobalChampions CF,2023-12-30T09:00:20.3764079Z,1703937647885
294.81,1.1900024,1.19,Deka-GlobalChampions CF,2023-12-31T02:01:43.2925275Z,1704219750071
294.17,-0.63998413,-0.47,Deka-GlobalChampions CF,2024-01-04T12:00:05.4707138Z,1704406894120
293.18,-0.99002075,-0.37,Deka-GlobalChampions CF,2024-01-05T20:00:56.3062034Z,1704726066030
292.65,-0.5299988,-0.53,Deka-GlobalChampions CF,2024-01-09T12:00:15.8541873Z,1704801628060
295.37,2.7200012,2.72,Deka-GlobalChampions CF,2024-01-10T11:05:08.827018Z,1704905653033
296.91,1.5400085,1.43,Deka-GlobalChampions CF,2024-01-12T10:00:05.0137095Z,1705069118101
